hospital,hours,walkin_0,walkin_1,walkin_2,walkin_3,walkin_4,walkin_5,walkin_6,walkin_7,walkin_8,walkin_9,walkin_10,walkin_11,walkin_12,walkin_13,walkin_14,walkin_15,walkin_16,walkin_17,walkin_18,walkin_19,walkin_20,walkin_21,walkin_22,walkin_23,lwbs_low,lwbs_high,fasttrack_p,admit_p
Riverside General,24,4.93,4.99,5.06,5.15,5.25,5.37,7.88,8.08,8.29,8.5,8.72,8.92,9.12,9.29,9.43,9.54,9.6,9.62,9.6,9.54,9.43,9.29,9.12,8.92,238,468,0.55,0.25
North Valley Medical,24,5.52,5.59,5.68,5.78,5.89,6.02,9.2,9.43,9.68,9.93,10.19,10.43,10.66,10.87,11.03,11.16,11.24,11.26,11.24,11.16,11.03,10.87,10.66,10.43,213,420,0.51,0.25
Prairie Health Centre,24,4.16,4.21,4.27,4.34,4.42,4.51,9.14,9.35,9.58,9.81,10.05,10.27,10.48,10.67,10.82,10.94,11.01,11.03,11.01,10.94,10.82,10.67,10.48,10.27,306,461,0.49,0.25
Lakeside Regional,24,6.03,6.1,6.19,6.29,6.4,6.54,13.11,13.42,13.75,14.09,14.43,14.76,15.06,15.33,15.56,15.72,15.83,15.86,15.83,15.72,15.56,15.33,15.06,14.76,277,487,0.57,0.25
Foothills Community,24,9.48,9.57,9.68,9.81,9.96,10.13,15.63,15.95,16.28,16.62,16.96,17.29,17.59,17.86,18.09,18.25,18.36,18.39,18.36,18.25,18.09,17.86,17.59,17.29,228,408,0.54,0.25
Meadowview Hospital,24,8.21,8.3,8.42,8.55,8.7,8.88,13.59,13.9,14.24,14.58,14.93,15.26,15.57,15.84,16.06,16.23,16.34,16.37,16.34,16.23,16.06,15.84,15.57,15.26,280,384,0.59,0.25
Stony Creek Medical,24,5.83,5.89,5.96,6.05,6.15,6.27,10.38,10.61,10.85,11.09,11.33,11.57,11.79,11.99,12.15,12.27,12.34,12.37,12.34,12.27,12.15,11.99,11.79,11.57,293,393,0.46,0.25
Aspen Ridge Hospital,24,5.84,5.89,5.96,6.04,6.13,6.23,12.05,12.29,12.54,12.8,13.05,13.3,13.53,13.74,13.9,14.03,14.11,14.14,14.11,14.03,13.9,13.74,13.53,13.3,269,453,0.53,0.25
Maple Grove Medical,24,9.85,9.95,10.06,10.2,10.36,10.54,16.15,16.48,16.82,17.18,17.53,17.88,18.2,18.48,18.71,18.89,19.0,19.03,19.0,18.89,18.71,18.48,18.2,17.88,261,435,0.56,0.25
Parkland General,24,3.64,3.68,3.74,3.8,3.88,3.96,7.68,7.88,8.08,8.29,8.5,8.71,8.9,9.06,9.2,9.31,9.37,9.39,9.37,9.31,9.2,9.06,8.9,8.71,228,461,0.6,0.25
