hospital,service_name,enabled,hours,da_0,da_1,da_2,da_3,da_4,da_5,da_6,da_7,da_8,da_9,da_10,da_11,da_12,da_13,da_14,da_15,da_16,da_17,da_18,da_19,da_20,da_21,da_22,da_23
Riverside General,Medicine,True,24,1.54,1.49,0.91,1.26,2.14,1.49,1.61,1.52,1.84,1.53,1.11,1.43,0.92,1.51,1.31,0.57,1.17,1.31,1.02,1.53,1.99,1.82,1.18,1.81
Riverside General,Surgery,True,24,0.94,0.81,1.81,1.48,1.31,1.08,1.42,1.68,1.4,1.43,0.51,1.43,1.86,1.56,1.36,1.12,0.98,0.87,1.42,1.27,1.26,0.97,0.89,1.49
Riverside General,ICU,False,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Riverside General,Cardiology,True,24,0.0,0.36,0.04,0.0,0.0,0.0,0.08,0.0,0.0,0.01,0.02,0.09,0.0,0.0,0.0,0.07,0.0,0.08,0.0,0.0,0.0,0.0,0.09,0.04
North Valley Medical,Medicine,True,24,3.05,1.92,2.07,2.15,3.09,2.72,1.7,2.0,2.17,3.23,2.03,2.72,2.9,2.95,0.75,2.65,2.32,2.2,1.61,1.64,2.91,2.73,1.88,2.22
North Valley Medical,Surgery,True,24,0.69,0.89,0.39,0.8,0.45,1.36,0.79,0.4,0.53,0.41,0.79,0.64,0.83,0.55,1.0,0.42,0.8,0.85,0.74,0.91,0.5,0.23,0.49,0.68
North Valley Medical,ICU,True,24,0.0,0.0,0.45,0.3,0.71,0.75,0.38,0.46,0.15,0.0,0.69,0.62,0.18,0.1,0.47,0.29,0.0,0.15,0.46,0.3,0.85,0.0,0.46,0.29
North Valley Medical,Cardiology,True,24,0.0,0.25,0.84,0.37,0.6,0.35,0.67,0.82,0.55,0.66,0.68,0.95,0.49,0.18,0.24,0.08,0.44,0.58,0.36,0.2,0.71,0.5,0.61,0.97
Prairie Health Centre,Medicine,False,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prairie Health Centre,Surgery,True,24,1.05,0.94,1.23,1.4,1.31,0.91,0.69,1.22,1.45,0.98,2.02,1.39,1.22,1.75,1.36,1.25,0.97,1.06,1.35,0.86,1.44,1.24,1.46,1.11
Prairie Health Centre,ICU,True,24,0.0,0.03,0.0,0.0,0.07,0.0,0.0,0.34,0.39,0.0,0.02,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.22,0.43,0.0,0.37,0.24,0.38
Prairie Health Centre,Cardiology,False,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lakeside Regional,Medicine,True,24,1.28,0.71,1.01,1.52,0.99,0.8,1.42,0.32,1.13,0.66,1.07,1.69,1.06,1.07,1.42,1.1,0.94,1.77,1.24,1.26,1.66,1.13,1.22,0.79
Lakeside Regional,Surgery,True,24,1.2,0.91,1.1,1.4,0.97,0.53,1.78,0.66,1.32,1.01,1.47,0.72,0.8,1.38,1.44,1.18,1.56,1.59,0.79,1.18,1.01,1.86,0.62,1.52
Lakeside Regional,ICU,True,24,0.46,0.08,0.5,0.65,0.0,0.36,0.34,0.06,0.28,0.0,0.25,0.5,0.19,0.05,0.0,0.69,0.36,0.3,0.12,0.33,0.29,0.48,0.1,0.48
Lakeside Regional,Cardiology,False,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Foothills Community,Medicine,True,24,1.42,1.31,1.73,0.98,0.39,1.48,1.22,1.72,1.93,0.86,0.7,1.18,1.6,0.52,1.02,1.36,0.94,1.38,0.99,0.71,1.22,0.58,2.33,0.79
Foothills Community,Surgery,False,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Foothills Community,ICU,False,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Foothills Community,Cardiology,False,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meadowview Hospital,Medicine,True,24,2.21,2.85,1.66,2.42,2.64,1.87,2.92,2.03,2.63,1.59,2.25,2.03,2.71,2.1,3.78,2.95,2.41,2.29,2.27,3.54,1.89,1.9,1.92,2.3
Meadowview Hospital,Surgery,True,24,1.33,1.73,0.53,0.7,1.2,0.66,1.52,1.64,0.53,0.9,0.56,0.94,0.66,2.02,1.51,1.85,1.49,1.08,1.23,1.02,1.05,0.67,1.49,0.84
Meadowview Hospital,ICU,True,24,0.04,0.01,0.06,0.06,0.0,0.23,0.0,0.18,0.3,0.0,0.18,0.21,0.0,0.04,0.0,0.0,0.13,0.0,0.24,0.0,0.0,0.26,0.27,0.01
Meadowview Hospital,Cardiology,False,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stony Creek Medical,Medicine,True,24,1.38,2.19,1.42,2.2,1.44,1.99,1.56,2.35,2.15,1.24,1.36,1.65,1.71,2.2,1.33,1.56,0.9,1.8,1.59,1.71,1.54,2.18,1.71,2.43
Stony Creek Medical,Surgery,True,24,0.24,1.41,0.48,0.63,0.5,0.77,0.75,1.1,0.54,1.08,1.07,0.59,0.85,1.09,0.65,1.03,0.73,0.37,1.18,0.65,0.64,0.93,0.58,1.08
Stony Creek Medical,ICU,True,24,0.3,0.17,0.44,0.0,0.1,0.0,0.31,0.12,0.0,0.13,0.29,0.06,0.18,0.01,0.37,0.22,0.0,0.0,0.37,0.47,0.2,0.07,0.11,0.42
Stony Creek Medical,Cardiology,False,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aspen Ridge Hospital,Medicine,True,24,0.92,2.57,1.57,2.45,1.15,2.07,3.03,2.27,2.51,2.3,1.48,1.48,2.12,1.97,1.48,1.68,1.09,2.22,1.64,1.8,1.67,2.2,1.91,1.62
Aspen Ridge Hospital,Surgery,True,24,0.64,0.23,0.61,0.4,0.69,0.67,0.67,0.71,0.61,0.63,0.65,0.23,0.81,0.05,0.3,0.66,0.47,0.8,0.51,0.87,0.24,0.69,0.87,0.3
Aspen Ridge Hospital,ICU,True,24,0.23,0.55,0.4,0.0,0.6,0.24,0.32,0.0,0.2,0.03,0.0,0.15,0.03,1.02,0.0,0.36,0.46,0.13,0.0,0.3,0.3,0.27,0.0,0.34
Aspen Ridge Hospital,Cardiology,False,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maple Grove Medical,Medicine,True,24,0.67,0.79,0.74,0.17,0.68,0.66,0.86,0.47,0.95,0.77,0.46,0.47,0.59,0.7,0.66,0.8,0.55,1.17,0.61,0.68,0.36,0.34,0.62,0.46
Maple Grove Medical,Surgery,True,24,0.39,0.79,0.77,0.71,0.23,0.2,0.5,0.23,0.24,0.07,0.03,0.35,0.18,0.35,0.44,0.63,0.31,0.18,0.7,0.5,0.45,0.13,0.36,0.12
Maple Grove Medical,ICU,False,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maple Grove Medical,Cardiology,False,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parkland General,Medicine,True,24,1.64,2.3,2.3,1.59,3.48,1.69,2.74,2.18,1.26,3.13,1.75,2.56,0.78,2.5,0.77,3.61,2.5,1.3,3.25,3.67,3.47,3.49,2.09,2.51
Parkland General,Surgery,True,24,1.28,1.19,1.69,1.82,1.37,1.2,1.29,0.95,0.96,0.97,1.52,1.39,1.02,0.82,1.73,1.08,1.55,0.95,0.74,1.1,1.28,1.79,1.17,1.49
Parkland General,ICU,False,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parkland General,Cardiology,True,24,0.56,0.63,0.67,0.49,0.67,0.53,0.28,0.53,0.13,0.65,0.52,0.59,0.26,0.3,0.33,0.18,0.29,0.36,0.27,0.24,0.18,0.0,0.25,0.5
