hospital,enabled,internal_generation,hours,hourly_0,hourly_1,hourly_2,hourly_3,hourly_4,hourly_5,hourly_6,hourly_7,hourly_8,hourly_9,hourly_10,hourly_11,hourly_12,hourly_13,hourly_14,hourly_15,hourly_16,hourly_17,hourly_18,hourly_19,hourly_20,hourly_21,hourly_22,hourly_23,ctas1,ctas2,ctas3,ctas4,ctas5,p_critical,p_direct_to_bed,download_capacity,offload_low,offload_high,nurses_0,nurses_1,nurses_2,nurses_3,nurses_4,nurses_5,nurses_6,nurses_7,nurses_8,nurses_9,nurses_10,nurses_11,nurses_12,nurses_13,nurses_14,nurses_15,nurses_16,nurses_17,nurses_18,nurses_19,nurses_20,nurses_21,nurses_22,nurses_23,crew_low,crew_high,lwbs_low,lwbs_high,fasttrack_p,admit_p
Riverside General,True,True,24,2.65,2.67,2.7,2.73,2.76,2.8,3.32,3.37,3.43,3.49,3.55,3.61,3.67,3.71,3.75,3.78,3.8,3.81,3.8,3.78,3.75,3.71,3.67,3.61,0.04,0.15,0.48,0.28,0.05,0.25,0.5,10,5,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40,50,45,180,0.11,0.66
North Valley Medical,True,True,24,1.34,1.36,1.37,1.38,1.4,1.42,1.75,1.78,1.81,1.84,1.87,1.9,1.93,1.96,1.98,2.0,2.01,2.01,2.01,2.0,1.98,1.96,1.93,1.9,0.04,0.15,0.48,0.28,0.05,0.29,0.52,10,5,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40,50,45,180,0.08,0.68
Prairie Health Centre,True,True,24,1.79,1.8,1.83,1.85,1.88,1.92,2.63,2.69,2.75,2.81,2.87,2.93,2.98,3.03,3.07,3.1,3.12,3.13,3.12,3.1,3.07,3.03,2.98,2.93,0.04,0.15,0.48,0.28,0.05,0.26,0.53,12,5,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40,50,45,180,0.1,0.61
Lakeside Regional,True,True,24,0.96,0.97,0.98,1.0,1.01,1.03,1.38,1.41,1.45,1.48,1.51,1.54,1.57,1.6,1.62,1.64,1.65,1.65,1.65,1.64,1.62,1.6,1.57,1.54,0.04,0.15,0.48,0.28,0.05,0.3,0.46,12,5,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40,50,45,180,0.09,0.62
Foothills Community,True,True,24,2.34,2.36,2.39,2.42,2.46,2.5,2.87,2.93,2.99,3.05,3.11,3.17,3.23,3.28,3.32,3.35,3.37,3.38,3.37,3.35,3.32,3.28,3.23,3.17,0.04,0.15,0.48,0.28,0.05,0.29,0.52,8,5,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40,50,45,180,0.14,0.65
Meadowview Hospital,True,True,24,2.74,2.77,2.8,2.83,2.87,2.92,3.35,3.41,3.48,3.55,3.62,3.69,3.75,3.8,3.85,3.88,3.91,3.91,3.91,3.88,3.85,3.8,3.75,3.69,0.04,0.15,0.48,0.28,0.05,0.28,0.52,8,5,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40,50,45,180,0.11,0.69
Stony Creek Medical,True,True,24,2.77,2.79,2.81,2.84,2.87,2.9,3.51,3.56,3.62,3.67,3.73,3.78,3.83,3.87,3.91,3.94,3.95,3.96,3.95,3.94,3.91,3.87,3.83,3.78,0.04,0.15,0.48,0.28,0.05,0.3,0.55,10,5,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40,50,45,180,0.08,0.59
Aspen Ridge Hospital,True,True,24,2.93,2.96,3.0,3.04,3.09,3.15,3.72,3.8,3.88,3.97,4.06,4.15,4.22,4.29,4.35,4.4,4.42,4.43,4.42,4.4,4.35,4.29,4.22,4.15,0.04,0.15,0.48,0.28,0.05,0.26,0.47,12,5,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40,50,45,180,0.12,0.55
Maple Grove Medical,True,True,24,2.29,2.31,2.33,2.36,2.39,2.42,3.38,3.44,3.49,3.55,3.61,3.66,3.72,3.76,3.8,3.83,3.85,3.85,3.85,3.83,3.8,3.76,3.72,3.66,0.04,0.15,0.48,0.28,0.05,0.31,0.46,12,5,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40,50,45,180,0.09,0.58
Parkland General,True,True,24,2.46,2.48,2.5,2.53,2.56,2.6,3.62,3.68,3.74,3.81,3.87,3.93,3.99,4.04,4.09,4.12,4.14,4.15,4.14,4.12,4.09,4.04,3.99,3.93,0.04,0.15,0.48,0.28,0.05,0.34,0.45,8,5,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40,50,45,180,0.15,0.63
