hospital,service_name,bed_base,p_consult,p_admit,los_time_type,los_hours_low,los_hours_high,los_hours_mean,los_hours_sigma,consult_time_type,consult_hours_low,consult_hours_high,consult_hours_mean,consult_hours_sigma
Riverside General,Medicine,27,0.33,0.84,lognormal,,,4.02,0.34,uniform,0.5,1.5,,
Riverside General,Surgery,20,0.19,0.56,lognormal,,,4.34,0.38,uniform,0.5,1.25,,
Riverside General,ICU,6,0.07,0.9,uniform,24,120,,,uniform,0.75,2.0,,
Riverside General,Cardiology,11,0.21,0.54,lognormal,,,4.0,0.35,uniform,0.5,1.5,,
North Valley Medical,Medicine,37,0.53,0.55,lognormal,,,4.18,0.39,uniform,0.5,1.5,,
North Valley Medical,Surgery,12,0.12,0.79,lognormal,,,4.3,0.35,uniform,0.5,1.25,,
North Valley Medical,ICU,10,0.06,0.89,uniform,24,120,,,uniform,0.75,2.0,,
North Valley Medical,Cardiology,12,0.2,0.56,lognormal,,,4.0,0.35,uniform,0.5,1.5,,
Prairie Health Centre,Medicine,38,0.38,0.77,lognormal,,,4.43,0.45,uniform,0.5,1.5,,
Prairie Health Centre,Surgery,20,0.19,0.73,lognormal,,,4.22,0.43,uniform,0.5,1.25,,
Prairie Health Centre,ICU,6,0.1,0.93,uniform,24,120,,,uniform,0.75,2.0,,
Prairie Health Centre,Cardiology,0,0.23,0.57,lognormal,,,4.0,0.35,uniform,0.5,1.5,,
Lakeside Regional,Medicine,36,0.38,0.7,lognormal,,,4.22,0.4,uniform,0.5,1.5,,
Lakeside Regional,Surgery,13,0.2,0.57,lognormal,,,4.27,0.41,uniform,0.5,1.25,,
Lakeside Regional,ICU,16,0.06,0.92,uniform,24,120,,,uniform,0.75,2.0,,
Lakeside Regional,Cardiology,13,0.16,0.59,lognormal,,,4.0,0.35,uniform,0.5,1.5,,
Foothills Community,Medicine,31,0.52,0.64,lognormal,,,4.55,0.43,uniform,0.5,1.5,,
Foothills Community,Surgery,10,0.11,0.78,lognormal,,,4.41,0.36,uniform,0.5,1.25,,
Foothills Community,ICU,14,0.11,0.88,uniform,24,120,,,uniform,0.75,2.0,,
Foothills Community,Cardiology,0,0.17,0.58,lognormal,,,4.0,0.35,uniform,0.5,1.5,,
Meadowview Hospital,Medicine,38,0.51,0.77,lognormal,,,4.11,0.32,uniform,0.5,1.5,,
Meadowview Hospital,Surgery,19,0.15,0.8,lognormal,,,4.03,0.39,uniform,0.5,1.25,,
Meadowview Hospital,ICU,8,0.09,0.86,uniform,24,120,,,uniform,0.75,2.0,,
Meadowview Hospital,Cardiology,10,0.14,0.43,lognormal,,,4.0,0.35,uniform,0.5,1.5,,
Stony Creek Medical,Medicine,37,0.46,0.74,lognormal,,,4.48,0.36,uniform,0.5,1.5,,
Stony Creek Medical,Surgery,14,0.1,0.73,lognormal,,,4.57,0.43,uniform,0.5,1.25,,
Stony Creek Medical,ICU,16,0.11,0.93,uniform,24,120,,,uniform,0.75,2.0,,
Stony Creek Medical,Cardiology,0,0.16,0.46,lognormal,,,4.0,0.35,uniform,0.5,1.5,,
Aspen Ridge Hospital,Medicine,29,0.56,0.66,lognormal,,,4.36,0.44,uniform,0.5,1.5,,
Aspen Ridge Hospital,Surgery,18,0.12,0.71,lognormal,,,4.36,0.38,uniform,0.5,1.25,,
Aspen Ridge Hospital,ICU,16,0.09,0.87,uniform,24,120,,,uniform,0.75,2.0,,
Aspen Ridge Hospital,Cardiology,11,0.19,0.56,lognormal,,,4.0,0.35,uniform,0.5,1.5,,
Maple Grove Medical,Medicine,40,0.42,0.59,lognormal,,,4.73,0.39,uniform,0.5,1.5,,
Maple Grove Medical,Surgery,15,0.15,0.56,lognormal,,,4.48,0.42,uniform,0.5,1.25,,
Maple Grove Medical,ICU,14,0.12,0.86,uniform,24,120,,,uniform,0.75,2.0,,
Maple Grove Medical,Cardiology,10,0.25,0.51,lognormal,,,4.0,0.35,uniform,0.5,1.5,,
Parkland General,Medicine,28,0.44,0.66,lognormal,,,4.1,0.37,uniform,0.5,1.5,,
Parkland General,Surgery,19,0.18,0.73,lognormal,,,4.02,0.33,uniform,0.5,1.25,,
Parkland General,ICU,8,0.1,0.89,uniform,24,120,,,uniform,0.75,2.0,,
Parkland General,Cardiology,0,0.17,0.58,lognormal,,,4.0,0.35,uniform,0.5,1.5,,
