abs_hour,hod,arrivals,acuity_mean
0,0,7,0.5191234819925263
1,1,7,0.38189718482125695
2,2,11,0.7470669127946162
3,3,13,0.5113313372232728
4,4,12,0.4672845792782015
5,5,12,0.4369946319727724
6,6,11,0.34000276861717366
7,7,28,0.4852234274638108
8,8,30,0.4958865474726431
9,9,18,0.6164165726293558
10,10,25,0.5840657808640138
11,11,24,0.4363770096596493
12,12,9,0.4348555905341828
13,13,19,0.604445601413464
14,14,23,0.47753260134205994
15,15,12,0.48107001112897424
16,16,16,0.5284214485544135
17,17,15,0.4036406016746727
18,18,15,0.4282631746806441
19,19,12,0.4440775835364215
20,20,5,0.26267666513273263
21,21,8,0.4951670734416748
22,22,8,0.606720595627649
23,23,9,0.43757750004591656
24,0,11,0.58081304100864
25,1,5,0.5103822880848778
26,2,14,0.4755948131037534
27,3,15,0.3531768688713915
28,4,7,0.4594112588792507
29,5,15,0.37440296534861023
30,6,22,0.5762254399409361
31,7,19,0.3836995174894292
32,8,21,0.5157950067566857
33,9,22,0.6367559012328167
34,10,19,0.4463674690599877
35,11,28,0.5394093891897253
36,12,18,0.5818063492093501
37,13,24,0.40663311752058506
38,14,13,0.41326605420306645
39,15,13,0.48553848284453355
40,16,11,0.44227329872218546
41,17,12,0.4830707560847889
42,18,14,0.5414381446990524
43,19,11,0.5927722268376745
44,20,5,0.8014908191201291
45,21,11,0.3698434290886286
46,22,7,0.2968158675591822
47,23,10,0.5228468694104176
48,0,14,0.4833173862170182
49,1,6,0.4953300150835513
50,2,7,0.6217443366483835
51,3,9,0.4175545572432901
52,4,16,0.4684889636417353
53,5,9,0.422757906509442
54,6,19,0.40937796259189757
55,7,17,0.5101596222550561
56,8,25,0.5342377299282824
57,9,20,0.5368711893545692
58,10,19,0.38770605135812486
59,11,17,0.47550253095143624
60,12,13,0.5035490351390096
61,13,20,0.44775848148598135
62,14,14,0.5050644444848176
63,15,11,0.6074978330933253
64,16,21,0.4502820965304745
65,17,15,0.44364150039270556
66,18,12,0.5508805777743594
67,19,13,0.44462995999091315
68,20,16,0.49342100803909156
69,21,16,0.5143862070038627
70,22,10,0.48165021311168416
71,23,11,0.5625974370645278
72,0,14,0.42481205179509496
73,1,10,0.5283404886375307
74,2,9,0.6378544315473673
75,3,16,0.45813644025005384
76,4,7,0.29224025482990573
77,5,12,0.47866266016745845
78,6,18,0.49545833919978155
79,7,17,0.4512037896881015
80,8,17,0.5342497451882522
81,9,22,0.469391023837473
82,10,22,0.5523821486965751
83,11,22,0.496367369686574
84,12,18,0.5248694032456583
85,13,10,0.6343921643909234
86,14,18,0.45230092526825405
87,15,16,0.36559337189125607
88,16,19,0.3585284141302769
89,17,20,0.5046845696896326
90,18,18,0.4896194408911065
91,19,14,0.5234987875607365
92,20,15,0.5106744652920245
93,21,6,0.3699181874989088
94,22,11,0.4210277036303392
95,23,10,0.46236327213498774
96,0,11,0.4271364086748068
97,1,2,1.1370814340034165
98,2,5,0.44951349079317604
99,3,7,0.5035017440198232
100,4,6,0.2262015534999471
101,5,12,0.5666331533078887
102,6,16,0.41798106427349957
103,7,12,0.43923671886708
104,8,18,0.5328697957545447
105,9,23,0.6199648989344734
106,10,20,0.5819925504388881
107,11,27,0.600797265362128
108,12,22,0.4127457680788075
109,13,20,0.5070573069426935
110,14,16,0.46471409492907195
111,15,19,0.5042643996330324
112,16,20,0.5706619046135323
113,17,19,0.5393754724063108
114,18,20,0.48223133154541403
115,19,8,0.43895604720240894
116,20,12,0.5078694012710966
117,21,5,0.3914089095961577
118,22,5,0.33062748197939057
119,23,7,0.4755726929585042
120,0,7,0.5650763200818929
121,1,15,0.34119347403181677
122,2,18,0.6092511375503624
123,3,18,0.4223784735006326
124,4,17,0.5606423286590284
125,5,11,0.4925864361557263
126,6,13,0.5005372693836688
127,7,27,0.4957773302517847
128,8,24,0.6252340129035581
129,9,22,0.4392675396896662
130,10,22,0.4272917329646535
131,11,22,0.5037639258199794
132,12,25,0.5400029716392006
133,13,16,0.5588760785764086
134,14,15,0.49731068660014693
135,15,8,0.47633771663587254
136,16,13,0.5303401126517605
137,17,13,0.6048425353630319
138,18,12,0.4118713458838883
139,19,23,0.60265079073874
140,20,12,0.4019023264568698
141,21,15,0.4602175269415027
142,22,26,0.5082103680920903
143,23,14,0.526582978355557
144,0,8,0.43614276412425856
145,1,4,0.4081585064830247
146,2,12,0.570229612547728
147,3,18,0.5934103920791163
148,4,15,0.45133294240501665
149,5,11,0.5475313164540269
150,6,14,0.4594102613971626
151,7,12,0.44273454088358144
152,8,21,0.42547575183665276
153,9,16,0.43514520055578565
154,10,22,0.4588572410835447
155,11,20,0.47246622618313
156,12,25,0.48341560281791196
157,13,20,0.45142971133147825
158,14,16,0.5599040431533413
159,15,17,0.4876416844924234
160,16,16,0.5007876705812914
161,17,16,0.5093145881863742
162,18,16,0.5572263378016054
163,19,13,0.45039449706848783
164,20,13,0.544982307948626
165,21,12,0.3762506481630498
166,22,3,0.3065244220417876
167,23,7,0.5662624918320212
168,0,9,0.5141169306255248
169,1,9,0.402345684930261
170,2,10,0.5277872893153269
171,3,6,0.46687068303921686
172,4,9,0.4994213809409205
173,5,16,0.652237473255458
174,6,14,0.5653372541359744
175,7,24,0.4919823767793658
176,8,16,0.5225300161248866
177,9,23,0.4279051361966756
178,10,27,0.5633342513805827
179,11,20,0.5466702297226603
180,12,22,0.4374081113765152
181,13,26,0.5095441307149965
182,14,12,0.45895437813950185
183,15,10,0.5426133467024638
184,16,20,0.47409285948896757
185,17,13,0.5152338650264164
186,18,10,0.3903927854430943
187,19,8,0.4202117162212732
188,20,12,0.5403345616033578
189,21,5,0.3424115855026442
190,22,6,0.5695614960279017
191,23,10,0.5720179318528803
192,0,13,0.4933332682675219
193,1,7,0.5858097495281231
194,2,7,0.4411328118968031
195,3,18,0.45147321894609704
196,4,11,0.3114146747890222
197,5,27,0.43037096227939203
198,6,22,0.4355046532174
199,7,27,0.4914367419669856
200,8,18,0.536787271552106
201,9,23,0.4993938350236172
202,10,28,0.42023631481887985
203,11,21,0.4338876814878286
204,12,21,0.4990175384243969
205,13,18,0.6380716382790272
206,14,20,0.38485217748685696
207,15,12,0.522377992238665
208,16,18,0.4766746933547088
209,17,12,0.47524094326179966
210,18,13,0.5125399253673859
211,19,9,0.5343125897053116
212,20,15,0.5716132840961202
213,21,7,0.5077711345313404
214,22,10,0.6149261288122952
215,23,14,0.4857193075769424
216,0,13,0.47530829269482805
217,1,13,0.40241713550619473
218,2,10,0.4380718759472127
219,3,17,0.42565443376063883
220,4,10,0.6399712048335904
221,5,11,0.4746984582098268
222,6,19,0.5078553709661461
223,7,17,0.5455704294879883
224,8,20,0.5109095660643149
225,9,20,0.5657004856625851
226,10,22,0.5515685462745108
227,11,18,0.5641869596620528
228,12,21,0.48914284844769523
229,13,12,0.5339845565378801
230,14,11,0.5207976794379303
231,15,13,0.5919870707995536
232,16,16,0.5999787687864943
233,17,16,0.5900037823926191
234,18,13,0.6770618766929851
235,19,10,0.5516264565211004
236,20,16,0.5514747501547226
237,21,13,0.5715574834487595
238,22,13,0.48265500458372307
239,23,11,0.5930291614816328
240,0,6,0.40144231440500605
241,1,10,0.3918926644725934
242,2,11,0.4770549420369726
243,3,15,0.5135742652225912
244,4,10,0.5692984590135416
245,5,11,0.34325786268985836
246,6,16,0.523974030469784
247,7,8,0.42591082714273865
248,8,23,0.5145402273527946
249,9,18,0.463915156833193
250,10,23,0.5591296756156171
251,11,20,0.5789104950650383
252,12,24,0.531937206242462
253,13,20,0.5045355661772485
254,14,13,0.48230072373018185
255,15,18,0.44291670118709964
256,16,21,0.44517788671017666
257,17,10,0.7031059613634052
258,18,18,0.3811399723607141
259,19,17,0.5999660919321915
260,20,13,0.659480025819424
261,21,8,0.6192947250441391
262,22,11,0.5152849342307764
263,23,6,0.4269968006673119
264,0,6,0.4938455065496341
265,1,5,0.6732515964130734
266,2,4,0.3648298836645584
267,3,8,0.6519934210403415
268,4,9,0.6485279102436017
269,5,18,0.46466714733225917
270,6,14,0.5932755827603824
271,7,7,0.7330114210964312
272,8,18,0.4765696269985267
273,9,21,0.5933530296188065
274,10,25,0.5315500252060921
275,11,20,0.45676758101051035
276,12,21,0.4231399947576369
277,13,29,0.4624115427275527
278,14,24,0.48851269115346246
279,15,14,0.37281994762368587
280,16,15,0.3288501099686958
281,17,20,0.4301358635618887
282,18,14,0.5316290691768837
283,19,15,0.6595264420600179
284,20,16,0.39685111774814597
285,21,8,0.6448560813906153
286,22,5,0.47869305444023336
287,23,10,0.6153294814315734
288,0,5,0.5900059090614483
289,1,5,0.47672732235158827
290,2,8,0.6390599469069301
291,3,7,0.48167965534576834
292,4,12,0.5592572526993745
293,5,12,0.4520588538621449
294,6,22,0.5575419138694994
295,7,30,0.4573065368879291
296,8,40,0.4362715995403459
297,9,29,0.48746004101911583
298,10,34,0.6110718260710685
299,11,16,0.59687016777183
300,12,21,0.4834133725578334
301,13,14,0.567368388625997
302,14,20,0.5093467506919207
303,15,13,0.40597022842013775
304,16,13,0.5680901494482717
305,17,6,0.4902986668256637
306,18,8,0.5103814703060647
307,19,9,0.4910155357420092
308,20,7,0.6329682068322635
309,21,6,0.4581197476789793
310,22,4,0.6665372460231965
311,23,8,0.49650535698358983
312,0,10,0.5409235868742587
313,1,6,0.4105402976736394
314,2,7,0.4582744023500535
315,3,8,0.6804346171919751
316,4,7,0.5314317876603896
317,5,16,0.4534515375691797
318,6,14,0.6178499873905245
319,7,22,0.5936326928862313
320,8,26,0.440729680944074
321,9,20,0.42605307709005036
322,10,28,0.48183279484133684
323,11,21,0.5125373178493182
324,12,15,0.4338921991252669
325,13,21,0.5183409715679405
326,14,15,0.5746772004079396
327,15,12,0.5743410724361776
328,16,12,0.2712718995808374
329,17,13,0.38816941838875985
330,18,10,0.4624676712031608
331,19,11,0.4163706230290019
332,20,9,0.535678877115655
333,21,11,0.5589145841668585
334,22,11,0.48082173083442986
335,23,15,0.4378887297547752
336,0,12,0.34199119485467283
337,1,10,0.4935889286765426
338,2,9,0.36318007299503857
339,3,14,0.548909852980647
340,4,12,0.38973486773770594
341,5,12,0.4955459737090672
342,6,17,0.5240630201060307
343,7,24,0.5498310821062359
344,8,19,0.5465213337586702
345,9,16,0.5121353546741239
346,10,22,0.5091157489148791
347,11,13,0.46077774345855826
348,12,17,0.49807981505717697
349,13,14,0.40783318734981805
350,14,20,0.47598911461472737
351,15,14,0.4852223344218953
352,16,15,0.5253370605769294
353,17,15,0.5699976513977495
354,18,11,0.3539381179980979
355,19,12,0.3561932536652573
356,20,22,0.5297649064711331
357,21,15,0.4262632364904006
358,22,17,0.5116535512786919
359,23,12,0.47453123019704607
360,0,11,0.5854236765522498
361,1,14,0.39382366204996666
362,2,10,0.4689288253916396
363,3,13,0.638740176058125
364,4,10,0.5109442110558511
365,5,16,0.5500552381713179
366,6,19,0.5264316159280418
367,7,14,0.5722738683204055
368,8,16,0.5447872572158617
369,9,25,0.5094040003177186
370,10,19,0.5822646459489141
371,11,22,0.5157750188812422
372,12,18,0.46344103204905956
373,13,26,0.4859572509886637
374,14,18,0.3948446853851015
375,15,12,0.4997410276332204
376,16,13,0.5816889507373328
377,17,13,0.4895804856678614
378,18,12,0.3951452184216449
379,19,17,0.42327021440982354
380,20,10,0.5856823095087592
381,21,16,0.4739703246386403
382,22,9,0.5712592671385669
383,23,9,0.6856185397678896
384,0,5,0.5607023471237709
385,1,8,0.7277085326894819
386,2,7,0.4178705666197692
387,3,14,0.4847257367628745
388,4,10,0.39252070951134793
389,5,11,0.5017543743325455
390,6,16,0.6061995765646329
391,7,26,0.47743639880097355
392,8,26,0.3947309754763666
393,9,10,0.5089781874216761
394,10,23,0.508402875385797
395,11,20,0.465388162423172
396,12,23,0.5690943126888593
397,13,18,0.4750957579441606
398,14,25,0.6399869548051168
399,15,16,0.326903173278654
400,16,23,0.5118618973519424
401,17,16,0.35133205614686047
402,18,10,0.5506356422444452
403,19,18,0.4556907162859839
404,20,3,0.467821139941752
405,21,5,0.6238771509726254
406,22,5,0.3476662345598554
407,23,6,0.6016239417371573
408,0,8,0.5594961112864186
409,1,4,0.7208925397327995
410,2,9,0.530430750242522
411,3,9,0.5675820331057421
412,4,17,0.49875860562567664
413,5,20,0.5751617701767185
414,6,23,0.4900191902482824
415,7,21,0.5486558351557448
416,8,24,0.5423445078788534
417,9,21,0.538042628347007
418,10,25,0.4663840956672608
419,11,17,0.4347821804356537
420,12,21,0.4244027588558266
421,13,28,0.4779920025186824
422,14,13,0.44024072970631806
423,15,13,0.43567649794959473
424,16,9,0.40982573683948365
425,17,9,0.6017302672839254
426,18,13,0.5783111929376
427,19,7,0.520799352794105
428,20,8,0.48663595954997774
429,21,8,0.6192694678286893
430,22,11,0.5899580195671411
431,23,11,0.464314300958345
432,0,7,0.5227069726208932
433,1,10,0.546749968344982
434,2,11,0.4259920954357232
435,3,12,0.3431636191786251
436,4,10,0.42898451334901233
