t,event,top5,size,hour,day,nurses,pid,area,acuity,ctas,is_ems,is_critical,lwbs_min,base_min,one,two,three,chosen,requires_lab,lab_prob,requires_di,di_prob,di_modality,arrival_to_offload,queue,qlen,to,bonus_time,bonus_emscrit,bonus_download,score,doctor,doc_active_panel,busy,cap,chosen_acuity,chosen_bonus_time,chosen_bonus_emscrit,chosen_bonus_download,chosen_score,minutes,mode,touch,duration,ems_direct,add,total_bonus,steps,elapsed,offload_to_clear,total,service,attempt,critical,modality,reason,new_area
0.0,acute_queue_refresh,[],0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,acute_queue_refresh,[],0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,offload_staff_set,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,offload_staff_set,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,arrival,,,,,,138.0,A,0.3714944977579584,4.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,lwbs_set,,,,,,138.0,A,,,True,,168.0597663265751,131.18172798224765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,touch_assigned,,,,,,138.0,,,,,,,,0.0,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,orders_on_arrival,,,,,,138.0,,,,,,,,,,,,1.0,0.55,0.0,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,offload_start,,,,,,138.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,arrival,,,,,,139.0,A,0.7752533929534604,3.0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,lwbs_set,,,,,,139.0,A,,,False,,177.85011617507388,154.39464876754323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,touch_assigned,,,,,,139.0,,,,,,,,0.0,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,orders_on_arrival,,,,,,139.0,,,,,,,,,,,,1.0,0.55,0.0,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
