abs_hour,hod,arrivals,acuity_mean
1,1,8,0.6316022345963698
2,2,4,0.7803459242207678
3,3,7,0.7553324141268567
4,4,11,0.7560398129011159
5,5,6,0.7161284095907111
6,6,7,0.7313831925358932
7,7,14,0.7593789491555765
8,8,8,0.6357961411616254
9,9,8,0.790976134765439
10,10,7,0.6678702323175713
11,11,11,0.7398217751806903
12,12,13,0.8624731247018852
13,13,14,0.8220479298897209
14,14,11,0.7088000608530192
15,15,15,0.7585707933066402
16,16,9,0.7763819037888038
17,17,14,0.7813826816922792
18,18,17,0.7962391091790125
19,19,15,0.776525481697529
20,20,15,0.726035116512718
21,21,6,0.8205620481804359
22,22,5,0.8956772947579885
23,23,10,0.7481496177796013
24,0,5,0.7019930865925607
25,1,5,0.8725278840521469
26,2,6,0.6495278698495266
27,3,4,0.822953119542545
